               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  53,            0.041637,            0.022899,           0.0090083,             0.57971,             0.77083,             0.63981,             0.31458,            0.035099,            0.010321,            0.011478,            0.006568,            0.006568,            0.006568
                  54,            0.045102,            0.025363,           0.0076245,             0.66087,             0.85946,             0.80243,             0.33941,            0.027519,            0.010411,             0.01188,            0.006502,            0.006502,            0.006502
                  55,            0.041079,            0.022185,           0.0063395,             0.42832,              0.7695,              0.6091,             0.25123,             0.03611,            0.010689,            0.013153,            0.006436,            0.006436,            0.006436
                  56,            0.043051,            0.025511,           0.0085396,             0.62894,             0.79952,             0.71336,             0.33973,            0.027174,            0.010503,            0.012628,             0.00637,             0.00637,             0.00637
                  57,            0.039671,            0.023746,           0.0067571,             0.53546,              0.7375,              0.6612,             0.32576,            0.032483,            0.010499,            0.013168,            0.006304,            0.006304,            0.006304
                  58,            0.042352,            0.022478,           0.0080155,             0.64381,             0.74255,             0.73604,              0.3145,            0.029358,           0.0092939,            0.013394,            0.006238,            0.006238,            0.006238
                  59,            0.043633,            0.024097,           0.0066775,             0.66231,             0.67069,             0.72921,             0.39899,            0.028606,           0.0093644,            0.012546,            0.006172,            0.006172,            0.006172
                  60,            0.039387,            0.024539,           0.0052168,             0.63567,             0.80417,             0.71322,              0.3307,            0.029601,           0.0094537,            0.010883,            0.006106,            0.006106,            0.006106
                  61,            0.040457,            0.020351,           0.0058031,              0.5593,             0.80417,             0.66145,              0.3037,            0.031271,            0.010221,            0.010428,             0.00604,             0.00604,             0.00604
                  62,            0.041574,              0.0218,           0.0059729,             0.61986,             0.80417,              0.7142,             0.32826,            0.028054,           0.0096097,            0.010205,            0.005974,            0.005974,            0.005974
                  63,            0.039967,            0.024107,           0.0071091,              0.5903,             0.80417,             0.63785,             0.28882,            0.033146,            0.010554,            0.010181,            0.005908,            0.005908,            0.005908
                  64,            0.042644,            0.028354,           0.0055641,             0.61161,             0.80417,             0.67851,             0.33718,            0.025915,            0.010066,           0.0099213,            0.005842,            0.005842,            0.005842
                  65,            0.037965,            0.024079,            0.007189,             0.45684,             0.77083,             0.62226,             0.28267,            0.034496,            0.010227,            0.010565,            0.005776,            0.005776,            0.005776
                  66,            0.042482,            0.021888,           0.0080706,             0.62269,             0.86667,              0.7366,             0.38388,            0.023584,           0.0097954,            0.011246,             0.00571,             0.00571,             0.00571
                  67,            0.034704,            0.023216,           0.0056649,              0.4508,             0.77083,             0.64666,             0.30338,            0.032951,            0.010323,            0.011044,            0.005644,            0.005644,            0.005644
                  68,             0.03814,            0.025538,           0.0060398,             0.56855,              0.7375,             0.61624,             0.31716,            0.028349,            0.010546,            0.011014,            0.005578,            0.005578,            0.005578
                  69,            0.041296,            0.021744,           0.0060062,             0.57901,              0.8375,             0.71177,              0.3606,             0.02826,            0.010221,            0.011011,            0.005512,            0.005512,            0.005512
                  70,            0.037685,            0.021368,           0.0050658,             0.62731,             0.89311,             0.74619,             0.38798,             0.02532,             0.01006,            0.012119,            0.005446,            0.005446,            0.005446
                  71,            0.039533,            0.022019,           0.0051389,              0.5738,              0.8375,             0.69956,             0.35712,            0.026906,            0.009786,            0.011359,             0.00538,             0.00538,             0.00538
                  72,            0.033834,             0.02115,           0.0038231,             0.56373,             0.80417,              0.6823,             0.32249,            0.028387,            0.010291,            0.011176,            0.005314,            0.005314,            0.005314
                  73,             0.04093,            0.023562,           0.0060161,              0.5939,              0.7637,             0.69025,             0.35078,            0.027095,           0.0097115,            0.010962,            0.005248,            0.005248,            0.005248
                  74,            0.037138,            0.021657,           0.0047804,             0.55414,              0.8375,             0.67747,             0.35184,            0.026934,            0.009782,            0.010135,            0.005182,            0.005182,            0.005182
                  75,            0.036558,            0.021038,            0.005389,             0.61864,             0.80417,             0.65826,             0.31377,            0.028905,           0.0096083,           0.0087921,            0.005116,            0.005116,            0.005116
                  76,            0.035293,            0.024379,           0.0060778,             0.71045,             0.78098,              0.7122,             0.37801,            0.026556,           0.0094845,           0.0072174,             0.00505,             0.00505,             0.00505
                  77,            0.035713,            0.022922,           0.0060192,             0.66623,              0.8165,             0.68484,             0.34351,            0.027588,            0.009527,           0.0057236,            0.004984,            0.004984,            0.004984
                  78,            0.038865,            0.018508,           0.0083212,             0.65733,             0.81785,             0.67724,             0.32651,            0.027983,            0.009495,           0.0058716,            0.004918,            0.004918,            0.004918
                  79,            0.034862,            0.020158,           0.0051978,             0.62787,             0.81828,             0.66201,             0.35578,            0.026751,           0.0096433,           0.0066208,            0.004852,            0.004852,            0.004852
                  80,            0.034785,            0.020282,           0.0043528,             0.61661,             0.83191,             0.67669,             0.33329,            0.028033,           0.0095607,           0.0076996,            0.004786,            0.004786,            0.004786
                  81,            0.034079,            0.019018,           0.0056726,             0.60132,             0.82861,             0.68494,              0.3576,            0.026156,           0.0096789,           0.0087189,             0.00472,             0.00472,             0.00472
                  82,            0.035128,             0.02468,           0.0038045,             0.53772,             0.75274,             0.63307,              0.3097,            0.031331,            0.010586,            0.010449,            0.004654,            0.004654,            0.004654
                  83,            0.038053,            0.022884,           0.0072174,             0.58558,             0.80044,             0.69039,             0.38077,            0.026767,            0.010499,            0.011493,            0.004588,            0.004588,            0.004588
                  84,            0.033572,            0.020164,           0.0080833,             0.64161,              0.7375,             0.68209,             0.32784,            0.027627,            0.010059,            0.012125,            0.004522,            0.004522,            0.004522
                  85,            0.034442,            0.023666,           0.0045762,             0.58558,             0.80417,             0.67243,             0.39107,            0.024967,             0.00968,            0.011978,            0.004456,            0.004456,            0.004456
                  86,            0.032598,            0.022155,           0.0032246,             0.62195,             0.78902,             0.69959,             0.29946,            0.029849,           0.0099023,            0.012207,             0.00439,             0.00439,             0.00439
                  87,            0.038133,            0.021239,           0.0048279,             0.61114,             0.80417,             0.68105,              0.3651,            0.024924,           0.0095556,            0.012064,            0.004324,            0.004324,            0.004324
                  88,            0.034985,            0.019921,           0.0074159,             0.61653,             0.80417,             0.67694,             0.33536,            0.028123,            0.010036,             0.01218,            0.004258,            0.004258,            0.004258
                  89,            0.033163,            0.022787,           0.0046854,             0.61263,             0.80303,             0.64767,             0.34558,            0.024885,            0.010201,            0.011954,            0.004192,            0.004192,            0.004192
                  90,            0.036161,            0.021434,           0.0043755,             0.61173,             0.80417,             0.62858,             0.32546,            0.026612,            0.010333,            0.011896,            0.004126,            0.004126,            0.004126
                  91,            0.032597,            0.022498,           0.0046191,             0.61386,             0.80417,             0.64041,             0.34796,            0.024714,            0.010225,            0.011627,             0.00406,             0.00406,             0.00406
